Generation,BestMSE,AverageMSE
1,2.508566479654168E-4,3.772333413089271E10
2,2.508566479654168E-4,66.48118250658608
3,2.3144640905564922E-4,1.583270618806621E-5
4,2.2794906114215004E-4,4.714374548294923E-5
5,2.2794906114215004E-4,0.015136563532205282
6,2.2790267544347325E-4,2.3858573443300576E-5
7,2.1591672406317354E-4,3.816695051189824
8,2.1591672406317354E-4,6.596879611799816E-6
9,2.145895888337637E-4,2.99038157531367
10,2.1173175606057536E-4,0.001143593152420756
11,2.1161500109257217E-4,6.231104552500777E-6
12,2.1161500109257217E-4,1.49016677669274E-4
